fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,countyname
602399999,812,907,1183,1681,2015,6,Humboldt County
602599999,772,904,1155,1606,1952,6,Imperial County
602799999,795,961,1189,1555,1920,6,Inyo County
602999999,863,869,1137,1616,1937,6,Kern County
603199999,1030,1036,1287,1829,2091,6,Kings County
603399999,747,849,1117,1587,1872,6,Lake County
603599999,650,738,972,1381,1424,6,Lassen County
603799999,1534,1747,2222,2888,3170,6,Los Angeles County
603999999,967,973,1258,1784,1971,6,Madera County
604199999,2156,2665,3188,3912,4283,6,Marin County
604399999,794,857,1086,1543,1850,6,Mariposa County
604599999,988,995,1305,1844,2223,6,Mendocino County
604799999,854,1017,1243,1767,2117,6,Merced County
604999999,674,678,832,1073,1344,6,Modoc County
605199999,1061,1137,1386,1970,2238,6,Mono County
605399999,2112,2194,2675,3790,4144,6,Monterey County
605599999,1597,1814,2388,3288,3332,6,Napa County
605799999,1047,1054,1387,1971,2257,6,Nevada County
605999999,1939,2113,2539,3448,4032,6,Orange County
606199999,1277,1400,1756,2496,2907,6,Placer County
606399999,681,772,1000,1421,1634,6,Plumas County
606599999,1281,1398,1751,2376,2922,6,Riverside County
606799999,1277,1400,1756,2496,2907,6,Sacramento County
606999999,1441,1637,2155,3063,3671,6,San Benito County
607199999,1281,1398,1751,2376,2922,6,San Bernardino County
607399999,1714,1885,2399,3279,3988,6,San Diego County
607599999,2156,2665,3188,3912,4283,6,San Francisco County
607799999,1040,1158,1513,2150,2577,6,San Joaquin County
607999999,1394,1561,2055,2834,3155,6,San Luis Obispo County
608199999,2156,2665,3188,3912,4283,6,San Mateo County
608399999,2040,2350,2667,3520,4001,6,Santa Barbara County
608599999,2223,2513,2941,3750,4202,6,Santa Clara County
608799999,2212,2502,3293,4077,4568,6,Santa Cruz County
608999999,895,1017,1339,1903,2281,6,Shasta County
609199999,774,866,1138,1479,1838,6,Sierra County
609399999,738,752,974,1384,1408,6,Siskiyou County
609599999,1428,1620,1963,2790,3266,6,Solano County
609799999,1525,1711,2252,3101,3356,6,Sonoma County
609999999,1039,1072,1365,1929,2258,6,Stanislaus County
610199999,1003,1010,1288,1830,2194,6,Sutter County
610399999,760,819,1078,1460,1703,6,Tehama County
610599999,629,702,924,1313,1502,6,Trinity County
610799999,825,848,1116,1552,1790,6,Tulare County
610999999,794,902,1187,1567,2022,6,Tuolumne County
611199999,1703,2001,2425,3368,3962,6,Ventura County
611399999,1386,1406,1851,2561,3072,6,Yolo County
611599999,1003,1010,1288,1830,2194,6,Yuba County
