County Code,County,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
06069,"San Benito, CA",1.0,Personal income (dollars),1995967000.0,2073624000.0,2150991000.0,2257136000.0,2344649000.0,2574650000.0,2751653000.0,2936976000.0,3094215000.0,3418981000.0,3913642000.0,4162157000.0,4226425000.0,4444976000.0,4838868000.0
06069,"San Benito, CA",2.0,Population (persons),55554.0,56144.0,56794.0,57450.0,58061.0,58486.0,59520.0,60480.0,61745.0,63173.0,64533.0,66703.0,67715.0,68341.0,69159.0
06069,"San Benito, CA",3.0,Per capita personal income (dollars),35928.0,36934.0,37874.0,39289.0,40383.0,44022.0,46231.0,48561.0,50113.0,54121.0,60646.0,62398.0,62415.0,65041.0,69967.0
06071,"San Bernardino, CA",1.0,Personal income (dollars),60067589000.0,63385754000.0,64760552000.0,66327570000.0,69951380000.0,74258677000.0,77453102000.0,80031472000.0,83514331000.0,89202022000.0,99003275000.0,109157423000.0,108075879000.0,111575931000.0,119551968000.0
06071,"San Bernardino, CA",2.0,Population (persons),2040648.0,2059818.0,2071687.0,2080078.0,2095700.0,2111085.0,2126834.0,2145333.0,2160491.0,2171521.0,2183526.0,2190877.0,2196029.0,2200805.0,2214281.0
06071,"San Bernardino, CA",3.0,Per capita personal income (dollars),29436.0,30773.0,31260.0,31887.0,33379.0,35176.0,36417.0,37305.0,38655.0,41078.0,45341.0,49824.0,49214.0,50698.0,53991.0
06073,"San Diego, CA",1.0,Personal income (dollars),136161972000.0,144475867000.0,151092176000.0,155648494000.0,164691400000.0,174081824000.0,180838809000.0,187630531000.0,194949226000.0,204627597000.0,222761986000.0,240062927000.0,246463680000.0,262611416000.0,278127534000.0
06073,"San Diego, CA",2.0,Population (persons),3102369.0,3132770.0,3167098.0,3199163.0,3234108.0,3262051.0,3283104.0,3293086.0,3302976.0,3297378.0,3301182.0,3274244.0,3283755.0,3285890.0,3298799.0
06073,"San Diego, CA",3.0,Per capita personal income (dollars),43890.0,46118.0,47707.0,48653.0,50923.0,53366.0,55082.0,56977.0,59022.0,62058.0,67479.0,73319.0,75055.0,79921.0,84312.0
06075,"San Francisco, CA",1.0,Personal income (dollars),60634263000.0,65202071000.0,71831160000.0,73391437000.0,81851860000.0,89619269000.0,96454751000.0,103185030000.0,111996017000.0,112277739000.0,119725318000.0,130747503000.0,125186977000.0,132976966000.0,141918003000.0
06075,"San Francisco, CA",2.0,Population (persons),805604.0,816119.0,829730.0,840802.0,852366.0,865025.0,873473.0,879941.0,882486.0,881976.0,874826.0,815498.0,814176.0,819151.0,827526.0
06075,"San Francisco, CA",3.0,Per capita personal income (dollars),75266.0,79893.0,86572.0,87287.0,96029.0,103603.0,110427.0,117264.0,126910.0,127302.0,136856.0,160328.0,153759.0,162335.0,171497.0
06077,"San Joaquin, CA",1.0,Personal income (dollars),22406240000.0,22918431000.0,23605656000.0,24541217000.0,25983911000.0,27994154000.0,29427807000.0,30735741000.0,32261357000.0,34997298000.0,40306154000.0,44187154000.0,44932867000.0,46871534000.0,51428988000.0
06077,"San Joaquin, CA",2.0,Population (persons),687419.0,695787.0,702187.0,705793.0,716476.0,728317.0,740281.0,752124.0,762646.0,772845.0,780676.0,788096.0,795880.0,805909.0,816108.0
06077,"San Joaquin, CA",3.0,Per capita personal income (dollars),32595.0,32939.0,33617.0,34771.0,36266.0,38437.0,39752.0,40865.0,42302.0,45284.0,51630.0,56068.0,56457.0,58160.0,63017.0
06079,"San Luis Obispo, CA",1.0,Personal income (dollars),10809063000.0,11443277000.0,11971219000.0,12342485000.0,13091879000.0,13980423000.0,14406406000.0,15144287000.0,15708604000.0,16679450000.0,17812663000.0,19186225000.0,19494705000.0,20663641000.0,21860772000.0
06079,"San Luis Obispo, CA",2.0,Population (persons),269796.0,271038.0,274141.0,275666.0,278210.0,280062.0,281794.0,282368.0,283130.0,282594.0,281924.0,279468.0,282535.0,282007.0,281843.0
06079,"San Luis Obispo, CA",3.0,Per capita personal income (dollars),40064.0,42220.0,43668.0,44773.0,47058.0,49919.0,51124.0,53633.0,55482.0,59023.0,63182.0,68653.0,68999.0,73274.0,77564.0
